Player,height,two_pt_pct,ft_pct,three_pt_pct,player_id
Spencer Hawes,85,0.422,0.831,0.373,201150
Al Jefferson,82,0.485,0.649,0.0,2744
Frank Kaminsky,84,0.455,0.73,0.337,1626163
Michael Kidd-Gilchrist,78,0.556,0.69,0.429,203077
Jeremy Lamb,77,0.529,0.727,0.309,203087
Courtney Lee,77,0.493,0.839,0.378,201584
Jeremy Lin,75,0.446,0.815,0.336,202391
Kemba Walker,72,0.459,0.847,0.371,202689
Marvin Williams,80,0.504,0.833,0.402,101107
Cody Zeller,83,0.539,0.754,0.1,203469
Kent Bazemore,76,0.502,0.815,0.357,203145
Tim Hardaway Jr.,77,0.537,0.893,0.338,203501
Kirk Hinrich,76,0.373,0.938,0.387,2550
Al Horford,81,0.557,0.798,0.344,201143
Kris Humphries,81,0.465,0.798,0.315,2743
Kyle Korver,79,0.502,0.833,0.398,2594
Paul Millsap,79,0.512,0.757,0.319,200794
Mike Muscala,82,0.566,0.795,0.308,203488
Lamar Patterson,77,0.516,0.727,0.245,203934
Dennis Schröder,75,0.465,0.791,0.322,203471
Mike Scott,79,0.523,0.794,0.392,203118
Thabo Sefolosha,78,0.589,0.626,0.339,200757
Tiago Splitter,83,0.529,0.813,0.0,201168
Edy Tavares,87,0.579,0.375,0.0,204002
Jeff Teague,75,0.454,0.837,0.4,201952
Anthony Bennett,80,0.385,0.9,0.214,203461
Bismack Biyombo,80,0.544,0.628,0.0,202687
Bruno Caboclo,81,0.0,0.0,0.143,203998
DeMarre Carroll,78,0.388,0.6,0.39,201960
DeMar DeRozan,78,0.458,0.85,0.338,201942
James Johnson,79,0.54,0.574,0.303,201949
Cory Joseph,75,0.478,0.764,0.273,202709
Kyle Lowry,72,0.461,0.811,0.388,200768
Lucas Nogueira,84,0.659,0.533,0.333,203512
Patrick Patterson,80,0.49,0.853,0.362,202335
Norman Powell,75,0.436,0.811,0.404,1626181
Terrence Ross,78,0.484,0.79,0.386,203082
Luis Scola,81,0.467,0.726,0.404,2449
Jason Thompson,83,0.505,0.704,0.333,201574
Jonas Valančiūnas,83,0.565,0.761,0.0,202685
Delon Wright,77,0.463,0.743,0.385,1626153
Nemanja Bjelica,82,0.564,0.727,0.384,202357
Gorgui Dieng,82,0.54,0.827,0.3,203476
Kevin Garnett,83,0.474,0.667,0.0,708
Tyus Jones,72,0.388,0.718,0.302,1626145
Zach LaVine,77,0.482,0.793,0.389,203897
Shabazz Muhammad,78,0.516,0.764,0.289,203498
Adreian Payne,82,0.389,0.654,0.281,203940
Nikola Peković,83,0.38,0.8,0.0,201593
Tayshaun Prince,81,0.476,0.684,0.174,2419
Ricky Rubio,74,0.396,0.847,0.326,201937
Damjan Rudež,82,0.667,1.0,0.34,204014
Greg Smith,82,0.563,0.412,0.0,202962
Karl-Anthony Towns,83,0.559,0.811,0.341,1626157
Andrew Wiggins,79,0.486,0.761,0.3,203952
Eric Bledsoe,73,0.482,0.802,0.372,202339
Devin Booker,77,0.464,0.84,0.343,1626164
Lorenzo Brown,77,0.412,0.75,0.125,203485
Chase Budinger,79,0.523,0.696,0.279,201978
Tyson Chandler,84,0.585,0.62,0.0,2199
Archie Goodwin,77,0.474,0.674,0.232,203462
Cory Jefferson,81,0.429,0.667,0.0,203928
John Jenkins,76,0.505,0.833,0.314,203098
Brandon Knight,74,0.461,0.852,0.342,202688
Alex Len,84,0.426,0.728,0.143,203458
Jon Leuer,82,0.511,0.762,0.382,202720
Phil Pressey,71,0.433,0.52,0.222,203515
Ronnie Price,74,0.453,0.756,0.347,101179
Mirza Teletović,81,0.476,0.774,0.393,203141
P.J. Tucker,77,0.455,0.746,0.33,200782
T.J. Warren,80,0.52,0.703,0.4,203933
Alan Williams,80,0.417,0.643,0.0,1626210
Trevor Booker,80,0.513,0.67,0.293,202344
Trey Burke,72,0.46,0.817,0.344,203504
Alec Burks,78,0.412,0.752,0.405,202692
Derrick Favors,81,0.518,0.709,0.0,202324
Rudy Gobert,85,0.559,0.569,0.0,203497
Erick Green,76,0.5,1.0,0.2,203475
Gordon Hayward,79,0.477,0.824,0.349,202330
Rodney Hood,80,0.472,0.86,0.359,203918
Joe Ingles,80,0.531,0.722,0.386,204060
Chris Johnson,83,0.474,0.81,0.273,203187
Chris Johnson,78,0.474,0.81,0.273,203187
Trey Lyles,81,0.461,0.695,0.383,1626168
Shelvin Mack,75,0.493,0.738,0.312,202714
Elijah Millsap,78,0.37,0.722,0.083,202407
Raul Neto,73,0.453,0.743,0.395,203526
J.J. O'Brien,79,0.0,0.0,0.0,1626266
Tibor Pleiß,87,0.478,1.0,0.0,202353
Jeff Withey,84,0.544,0.729,0.0,203481
Chris Bosh,83,0.508,0.795,0.365,2547
Luol Deng,81,0.513,0.755,0.344,2736
Goran Dragić,75,0.527,0.727,0.312,201609
Gerald Green,78,0.446,0.783,0.323,101123
Udonis Haslem,80,0.423,0.75,0.111,2617
Joe Johnson,79,0.471,0.831,0.383,2207
Tyler Johnson,75,0.529,0.797,0.38,204020
Josh McRoberts,82,0.434,0.7,0.245,201177
Josh Richardson,77,0.446,0.667,0.461,1626196
Jarnell Stokes,81,0.6,0.5,0.0,203950
Amar'e Stoudemire,82,0.566,0.746,0.0,2405
Beno Udrih,75,0.461,0.9,0.341,2757
Dwyane Wade,76,0.468,0.793,0.159,2548
Briante Weber,74,0.412,0.75,0.0,1627362
Hassan Whiteside,84,0.606,0.65,0.0,202355
Justise Winslow,78,0.471,0.684,0.276,1626159
Avery Bradley,75,0.505,0.78,0.361,202340
Coty Clarke,79,0.0,0.0,1.0,1626262
Jae Crowder,78,0.529,0.82,0.336,203109
R.J. Hunter,77,0.486,0.857,0.302,1626154
Jonas Jerebko,82,0.421,0.782,0.398,201973
Amir Johnson,81,0.624,0.57,0.233,101161
Jordan Mickey,80,0.364,0.5,0.0,1626175
Kelly Olynyk,83,0.486,0.75,0.405,203482
Terry Rozier,73,0.291,0.8,0.222,1626179
Marcus Smart,75,0.427,0.777,0.253,203935
Jared Sullinger,81,0.458,0.64,0.282,203096
Isaiah Thomas,69,0.462,0.871,0.359,202738
Evan Turner,78,0.482,0.827,0.241,202323
James Young,78,0.5,0.25,0.231,203923
Tyler Zeller,84,0.476,0.815,0.0,203092
Elton Brand,80,0.437,0.889,0.0,1882
Isaiah Canaan,72,0.354,0.833,0.363,203477
Robert Covington,79,0.452,0.791,0.353,203496
Jerami Grant,80,0.477,0.658,0.24,203924
Richaun Holmes,82,0.596,0.689,0.182,1626158
Carl Landry,81,0.561,0.736,0.462,201171
Kendall Marshall,76,0.391,0.692,0.327,203088
T.J. McConnell,73,0.499,0.634,0.348,204456
Nerlens Noel,83,0.521,0.59,0.5,203457
Jahlil Okafor,82,0.511,0.686,0.167,1626143
Ish Smith,72,0.428,0.693,0.329,202397
Nik Stauskas,78,0.473,0.771,0.326,203917
Hollis Thompson,80,0.42,0.719,0.38,203138
Sonny Weems,78,0.391,0.533,0.366,201603
Christian Wood,82,0.429,0.619,0.364,1626174
Tony Wroten,78,0.396,0.541,0.176,203100
Matthew Dellavedova,75,0.401,0.864,0.41,203521
Channing Frye,84,0.545,0.857,0.387,101112
Joe Harris,78,0.0,0.0,0.25,203925
Kyrie Irving,74,0.502,0.885,0.321,202681
LeBron James,81,0.573,0.731,0.309,2544
Richard Jefferson,79,0.554,0.667,0.382,2210
Dahntay Jones,78,0.417,0.0,0.5,2563
James Jones,80,0.447,0.808,0.394,2592
Sasha Kaun,83,0.529,0.455,0.0,201619
Kevin Love,80,0.467,0.822,0.36,201567
Jordan McRae,77,0.429,0.75,0.455,203895
Timofey Mozgov,85,0.574,0.716,0.143,202389
Iman Shumpert,77,0.447,0.784,0.295,202697
J.R. Smith,78,0.438,0.634,0.4,2747
Tristan Thompson,81,0.588,0.616,0.0,202684
Mo Williams,73,0.48,0.905,0.353,2590
